"",PARAGRAPHS
234,Easy to empty and the simple washable filter is very effective There are no consumables to deal with on a regular basis though the filters will degrade over time The batteries will eventually need...
235,The brush head is easy to dismantle for removal of anything wrapped around the brush A quarterturn of the red screw on the bottom releases the cover for brush head access
236,There have been no clogs to remove
237,The WiFienabled ThinQ App’s monitoring shows a detailed cleaning history and other stats but is in my mind a feature that is not so important or relevant to this reviewer
238,Everyone here is pretty impressed with this LG CordZero
239,CONCLUSION
240,Easy to set up Easy to use Easy to like even love Very easy to recommend
241,WARRANTY
242,Manufacturer’s one year warranty from the date of the original purchase and 10 years on the Smart Inverter Motor
243,Powerful compact stick vacuum Compact bagless super light and yet a powerful stick vacuum with tons of features It came with an extra battery and an extra prefilter along with a combination and cr...
244,Design  Small form factor with a base station to charge the stick vacuum and the additional battery The charging station or the base is heavy enough to hold the stick vacuum in place and I didnt h...
245,Function  Coming to the suction power I was impressed on how good it was it in picking up the fine dust from the rugs The fivestage filtration system speaks for itself when you see the bin filled ...
246,Overall I highly recommend this powerful vacuum just for the fact it has good suction power and ease of maintenance It literally took me less than 10 minutes to clean the filter and the cyclone he...
247,Nice experience I have several vacuum cleaners even though I don’t really enjoy vacuuming I like the end result but the actual process of vacuuming is a chore I have never used a cordless stick va...
248,This LG came with a wallmount stand for the vac but at this point I’m not going to be installing that permanently on my wall somewhere I have shared a picture of how to charge this vac if you chos...
249,I really like this stick vac to suck up the hair on my bathroom floor With my regular push vac it always sucks up the rugs that I have in there and it’s a pain With this stick I just sweep with it...
250,I connected this to my LG ThinQ app it wasn’t too difficult I already had the app because I have an LG smart TV but for some reason that isn’t on the app anymore and I couldn’t reconnect it I’ll w...
